,Census Tract,Total Population,ZIP,Longitude,Latitude
3495,6031000601,10021,93230,-119.6700353,36.3547616
3496,6059110003,3194,92845,-118.0198654,33.7847215
3497,6073008800,6188,92111,-117.165353,32.7824761
3498,6073010107,6498,92154,-117.0793152,32.5820941
3499,6085503508,6219,95127,-121.81141,37.3545123
3500,6077003208,12534,95209,-121.3364443,38.0473226
3501,6071011401,4394,92314,-116.8481795,34.2528568
3502,6059110010,4526,92845,-118.0197653,33.792026
3503,6059063904,4658,92626,-117.8989115,33.6714514
3504,6071012001,5612,92311,-117.0176358,34.8693342
3505,6067009103,3495,95827,-121.3407983,38.5548044
3506,6065044103,5669,92220,-116.928801,33.9368755
3507,6037272301,2941,90066,-118.4222404,34.0050155
3508,6111005003,8366,93036,-119.1583831,34.240782
3509,6053014107,7088,93908,-121.7884328,36.595286
3510,6061020908,6706,95747,-121.3164942,38.7393452
3512,6001438201,4540,94544,-122.0764254,37.6261949
3513,6037125502,3083,91602,-118.3655446,34.1566286
3514,6073020021,6423,92069,-117.1773755,33.1511693
3515,6073003208,6619,92139,-117.0452492,32.6786956
3516,6065042731,5768,92585,-117.2214271,33.7377126
3517,6059001902,2967,92833,-117.9548148,33.8637798
3518,6081610203,3436,94063,-122.2235825,37.4797023
3519,6065043508,7014,92583,-116.9425027,33.7611983
3520,6057000502,4664,95945,-121.0816502,39.2116634
3521,6037405800,5881,91722,-117.9126798,34.1033944
3522,6065043601,4505,92583,-116.9530305,33.7834484
3523,6071009110,15578,92394,-117.3677478,34.5367769
3524,6073018504,6631,92054,-117.3390811,33.1869954
3526,6037501802,3326,90602,-118.0292523,33.9679116
3527,6073002401,4573,92104,-117.1151978,32.7470742
3528,6037601301,1915,90302,-118.363824,33.9791778
3529,6019005701,3697,93611,-119.6909537,36.8303592
3530,6085505203,4809,95050,-121.9331084,37.3470382
3531,6019005405,4145,93710,-119.7677223,36.826646
3533,6097151401,7306,95404,-122.6875017,38.4082641
3534,6059088107,5866,92841,-117.9756059,33.7775512
